 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
441,0,0,0,0,0,0,0,0,1,0,1
442,0,0,0,0,0,0,0,0,1,0,1
443,0,0,0,0,0,0,0,0,1,0,1
444,0,0,0,1,0,0,0,0,1,0,2
445,0,0,0,1,0,0,0,0,1,0,2
446,0,0,0,1,1,1,0,0,1,0,4
447,0,0,0,0,0,1,0,0,1,0,2
448,0,0,0,0,0,0,0,0,0,1,1
449,0,1,1,1,1,1,0,1,1,0,7
450,0,0,0,0,0,0,0,0,0,1,1
451,0,0,0,1,0,1,0,0,1,0,3
452,0,0,0,1,0,0,0,0,0,0,1
453,0,0,1,1,0,1,0,0,0,0,3
454,0,1,1,1,1,1,0,1,1,0,7
455,0,0,0,0,0,1,0,0,1,0,2
456,0,0,0,1,0,1,0,0,1,0,3
457,0,0,0,0,0,0,0,0,0,1,1
458,0,0,0,0,0,0,0,0,0,1,1
459,0,0,0,0,0,1,0,0,0,0,1
460,0,0,0,0,0,0,0,0,1,0,1
462,0,0,0,0,0,1,0,0,0,0,1
463,0,0,0,0,0,0,0,0,1,0,1
464,0,0,1,0,0,1,0,0,0,0,2
465,0,0,0,0,0,0,0,0,0,1,1
466,0,0,1,0,0,1,0,0,1,0,3
467,0,0,0,0,0,0,0,0,0,1,1
468,0,0,1,0,0,0,0,0,0,0,1
469,0,0,0,0,0,0,0,0,0,1,1
470,0,1,0,0,0,0,0,0,1,0,2
471,0,0,0,1,0,1,0,0,0,0,2
472,0,0,0,0,0,0,0,0,1,0,1
473,0,0,0,0,0,0,0,0,1,0,1
474,0,1,1,0,0,0,0,0,1,0,3
475,0,0,0,0,0,1,0,0,1,0,2
476,0,0,0,0,0,0,0,0,1,0,1
477,0,0,0,0,0,0,0,0,0,1,1
478,0,0,1,0,0,1,0,1,0,0,3
479,0,0,0,0,0,0,0,0,0,1,1
480,0,0,1,1,0,1,0,1,1,0,5
481,0,0,1,1,0,0,0,0,1,0,3
482,0,0,0,0,0,0,0,0,0,1,1
483,0,0,1,1,1,1,0,1,1,0,6
484,0,1,1,0,0,1,0,1,1,0,5
485,0,0,0,0,0,0,0,0,1,0,1
486,0,0,0,1,0,0,0,0,0,0,1
487,0,0,0,0,0,0,0,0,0,1,1
488,0,0,1,1,0,1,0,0,1,0,4
490,0,0,0,0,0,0,0,0,1,0,1
491,0,0,0,0,0,0,0,0,0,1,1
492,1,1,1,0,1,1,0,0,1,0,6
493,0,1,1,0,0,1,0,0,1,0,4
494,0,1,1,0,1,0,0,0,1,0,4
495,0,0,1,0,0,0,0,0,1,0,2
496,0,0,1,0,0,0,0,0,0,0,1
497,1,1,1,0,1,1,0,0,1,0,6
498,0,1,1,1,0,1,0,0,1,0,5
499,0,0,0,1,0,0,0,0,0,0,1
500,0,0,0,0,0,0,0,0,0,1,1
501,0,0,0,0,0,0,0,0,0,1,1
502,0,0,0,0,0,0,0,0,0,1,1
503,0,0,0,0,0,0,0,0,0,1,1
504,0,0,1,0,0,0,0,0,1,0,2
505,0,0,0,0,0,1,0,0,1,0,2
506,0,0,0,0,0,0,0,0,0,1,1
507,0,0,1,1,0,1,0,1,1,0,5
508,0,0,0,0,0,0,0,0,0,1,1
509,0,0,0,1,0,1,0,0,1,0,3
510,0,0,0,1,0,0,0,0,1,0,2
511,0,0,0,0,0,0,0,0,0,1,1
512,0,0,0,0,0,0,0,0,1,0,1
513,0,0,0,0,0,0,0,0,1,0,1
514,0,0,0,0,0,0,0,0,1,0,1
515,0,0,1,0,0,1,0,0,0,0,2
516,0,0,0,0,0,0,0,0,1,0,1
518,0,0,0,1,1,1,0,0,1,0,4
519,0,0,0,0,0,0,0,0,1,0,1
520,0,0,1,0,0,0,0,0,1,0,2
521,0,0,0,0,0,0,0,0,0,1,1
522,0,0,0,0,0,0,0,0,0,1,1
523,0,0,0,0,0,0,0,0,1,0,1
524,0,0,0,0,0,1,0,0,1,0,2
525,0,0,0,0,0,0,0,0,0,1,1
526,0,0,0,0,0,0,0,0,0,1,1
527,0,0,1,0,0,0,0,0,1,0,2
528,0,0,0,0,0,0,0,0,1,0,1
529,0,0,1,0,0,0,0,0,1,0,2
530,0,0,0,0,0,0,0,0,1,0,1
531,0,0,0,0,0,0,0,0,0,1,1
532,0,0,0,0,0,0,0,0,0,1,1
533,0,0,1,0,0,0,0,0,1,0,2
534,0,0,0,0,0,1,0,0,1,0,2
